,http://lib.ru/PROZA/,author
134,METTER/,Меттер Израиль
135,../RUSS_DETEKTIW/MIRHAJDAROW/,Мир-Хайдаров Рауль
136,MIHINN/,Михин Николай
137,MOZHAEW/,Можаев Борис
138,MUSATOW/,Мусатов Алексей
139,../NABOKOW/,Набоков Владимир
140,NAGIBIN/,Нагибин Юрий
141,NEKRASOW/,Некрасов Виктор
142,http://lit.lib.ru/n/nemchinow_g_a/,Немчинов Геннадий
143,NILIN/,Нилин Павел
144,NOSOW_E/,Носов Евгений
145,http://lit.lib.ru/o/osanches/,О'Санчес
146,OKUDZHAWA/,Окуджава Булат
147,ORLOW_O/,Орлов Владимир
148,PAVLOV_O/,Павлов Олег
149,PAUSTOWSKIJ/,Паустовский Константин
150,PEPPERSHTEJN/,Павел Пепперштейн
151,PETRUSHEWSKAYA/,Петрушевская Людмила
152,RADIJ/,Погодин Радий
153,../PODOLSKIJ/,Подольский Наль
154,../POKROWSKIJ/,Покровский Александр
155,POLEWOJ/,Полевой Борис
156,../NEWPROZA/POLYANSKAYA_I/,Полянская Ирина
157,PRISTAWKIN/,Приставкин Анатолий
158,../PRISHWIN/,Пришвин Михаил
159,PIECUH/,Пьецух Вячеслав
160,RAZGON_L/,Разгон Лев
161,RASPUTIN/,Распутин Валентин
162,http://lit.lib.ru/r/ratushinskaja_i_b/,Ратушинская Ирина
163,REKEMCHUK/,Рекемчук Александр
164,../NEWPROZA/RUBINA/,Рубина Дина
165,RYBAS/,Рыбас Святослав
166,RYBAS_T/,Рыбас Тарас
167,RYETHU_J/,Рытхэу Юрий
168,SAWELXEW/,Савельев Андрей
169,http://lit.lib.ru/s/sadur_n_n/,Садур Нина
170,http://lit.lib.ru/s/sanaev/,Санаев Павел
171,http://lit.lib.ru/s/safonow_w_a/,Сафонов Вадим
172,../INPROZ/SEVELA/,Севела Эфраим
173,SIMASHKO/,Симашко Морис
174,http://lit.lib.ru/s/slawich_s_k/,Славич Станислав
175,SLAPOWSKIJ/,Слаповский Алексей
176,SLIPENCHUK/,Слипенчук Виктор
177,../PRIKL/SMUUL/,Смуул Юхан
178,SOKOLOW_MIKITOW/,Соколов-Микитов Иван
179,SOLZHENICYN/,Солженицын Александр
180,SOLOUHIN/,Солоухин Владимир
181,../SOROKIN/,Сорокин Владимир
182,STADNYUK/,Стаднюк Иван
183,SUSI/,Суси Валерий
184,TARASEWICH/,Тарасевич Игорь
185,http://lit.lib.ru/t/tarn_a/,Тарн Алекс
186,http://lit.lib.ru/t/ten_w_k/,Тен Владимир
187,TENDRYAKOW/,Тендряков Владимир
188,TITOW_W/,Титов Владислав
189,TITOW_R/,Титов Ростислав
190,TOLSTAYA/,Толстая Татьяна
191,TROEPOLSKIJ/,Троепольский Гавриил
192,TUCHKOV/,Тучков Владимир
193,USPENSKIJ_L/,Успенский Лев
194,FEDIN/,Федин Константин
195,FEDOSEEW/,Федосеев Григорий
196,FONQKOWA_E/,Фонякова Элла
197,FRAERMAN/,Фраерман Рувим
198,FREADV/,Фрид Валерий
199,http://lit.lib.ru/h/hafizow_o_e/,Хафизов Олег
200,HEJDOK/,Хейдок Альфред
201,../HLUMOW/,Хлумов Владимир
202,../ZHURNAL/CIPIS/,Ципис Наум
203,CHAKOWSKIJ/,Чаковский Александр
204,../CHERNYH/,Черных Валентин
205,CHIWILIHIN/,Чивилихин Владимир
206,CHILAYA_S/,Чилая Сергей
207,CHULAKI_M/,Чулаки Михаил
208,SHAHNAZAROW_K/,Шахназаров Карен
209,KLOCHKO/,Ширянов Баян
210,SHISHKIN/,Шишкин Михаил
211,SHMELEW/,Шмелев Николай
212,../INPROZ/ALEJHEM/,Шолом-Алейхем
213,SHOLOHOW/,Шолохов Михаил
214,SHRAERPETROV/,Шраер-Петров Давид
215,../SHUKSHIN/,Шукшин Василий
216,ERENBURG/,Эренбург Илья
217,../RUSS_DETEKTIW/JUDENICH/,Юденич Марина
218,YAMPOLSKIJ/,Ямпольский Борис Самуилович
219,http://lit.lib.ru/j/jampolxskij_b_j/,Ямпольский Борис Яковлевич
220,YASHIN/,Яшин Александр
221,../INPROZ/,Переводная проза
222,../LITRA/,Русская классика
223,../RUSSLIT/,Русская проза 30-х годов
224,../NEWPROZA/,Русская проза 90-х годов
225,http://samlib.ru/janr/index_janr_5-1.shtml,"Проза в журнале ""Самиздат"""
