,url,book,author
0,http://lib.ru/PROZA/NILIN/kindred.txt,Ближайший родственник,Нилин Павел
1,http://lib.ru/PROZA/NILIN/varya.txt,Варя Лугина и ее первый муж,Нилин Павел
2,http://lib.ru/PROZA/NILIN/married.txt,Впервые замужем,Нилин Павел
3,http://lib.ru/PROZA/NILIN/eshke.txt,Дом господина Эшке в городе Веневе,Нилин Павел
4,http://lib.ru/PROZA/NILIN/folly.txt,Дурь,Нилин Павел
5,http://lib.ru/PROZA/NILIN/egor.txt,Егор или Василий?,Нилин Павел
6,http://lib.ru/PROZA/NILIN/cruelty.txt,Жестокость,Нилин Павел
7,http://lib.ru/PROZA/NILIN/tomorrow.txt,Завтра,Нилин Павел
8,http://lib.ru/PROZA/NILIN/knwnface.txt,Знакомое лицо,Нилин Павел
9,http://lib.ru/PROZA/NILIN/tishkov.txt,Знакомство с Тишковым,Нилин Павел
10,http://lib.ru/PROZA/NILIN/pavlyuk.txt,Знаменитый Павлюк,Нилин Павел
11,http://lib.ru/PROZA/NILIN/africa.txt,Из африканского дневника,Нилин Павел
12,http://lib.ru/PROZA/NILIN/burdenko.txt,Интересная жизнь,Нилин Павел
13,http://lib.ru/PROZA/NILIN/probatio.txt,Испытательный срок,Нилин Павел
14,http://lib.ru/PROZA/NILIN/worry.txt,Мелкие неприятности,Нилин Павел
15,http://lib.ru/PROZA/NILIN/modiste.txt,Модистка из Красноярска,Нилин Павел
16,http://lib.ru/PROZA/NILIN/autumn.txt,Осень в Жухарях,Нилин Павел
17,http://lib.ru/PROZA/NILIN/theft.txt,Последняя кража,Нилин Павел
18,http://lib.ru/PROZA/NILIN/spot.txt,Пятно,Нилин Павел
19,http://lib.ru/PROZA/NILIN/zaveev.txt,Старик Завеев,Нилин Павел
20,http://lib.ru/PROZA/NILIN/thrombus.txt,Тромб,Нилин Павел
21,http://lib.ru/PROZA/NILIN/volga.txt,У самой Волги,Нилин Павел
22,http://lib.ru/PROZA/NILIN/cemetery.txt,Через кладбище,Нилин Павел
