,url,book,author
0,http://lib.ru/INPROZ/ANDERSON_S/winesburg_engl.txt,"Winesburg, Ohio",Андерсон Шервуд
1,http://lib.ru/INPROZ/ANDERSON_S/WINESBURG_OHIO_rus_1959.txt,"Уайнсбург, Огайо (изд.1959)",Андерсон Шервуд
2,http://lib.ru/INPROZ/ANDERSON_S/WINESBURG_OHIO_Golyshev.txt,"Уайнсбург, Огайо (пер.Голышев,Бать,Гурова)",Андерсон Шервуд
3,http://lib.ru/INPROZ/ANDERSON_S/marching_men_engl.txt,Марширующие люди (engl),Андерсон Шервуд
4,http://lib.ru/INPROZ/ANDERSON_S/poor_white_engl.txt,Белый бедняк (engl),Андерсон Шервуд
5,http://lib.ru/INPROZ/ANDERSON_S/windy_mcpherson_s_son_engl.txt,Сын Винди МакФерсон(engl),Андерсон Шервуд
6,http://lib.ru/INPROZ/ANDERSON_S/triumph_of_the_egg_engl.txt,Триумф яйца(engl),Андерсон Шервуд
7,http://lib.ru/INPROZ/ANDERSON_S/r_4_1_Ya_hochu_znat.txt,Я хочу знать зачем,Андерсон Шервуд
8,http://lib.ru/INPROZ/ANDERSON_S/r_4_2_Semena.txt,Семена,Андерсон Шервуд
9,http://lib.ru/INPROZ/ANDERSON_S/r_4_3_Drugaya_zhenshina.txt,Другая женщина,Андерсон Шервуд
10,http://lib.ru/INPROZ/ANDERSON_S/r_4_4_Yaitso.txt,Яйцо,Андерсон Шервуд
11,http://lib.ru/INPROZ/ANDERSON_S/r_4_5_Nerasgorevsheesya_plamya.txt,Неразгоревшееся пламя,Андерсон Шервуд
12,http://lib.ru/INPROZ/ANDERSON_S/r_4_6_Chelovek_v_korichnevoi_kurtke.txt,Человек в коричневой куртке,Андерсон Шервуд
13,http://lib.ru/INPROZ/ANDERSON_S/r_4_7_Bratya.txt,Братья,Андерсон Шервуд
14,http://lib.ru/INPROZ/ANDERSON_S/r_4_8_Dver_lovushki.txt,Дверь ловушки,Андерсон Шервуд
15,http://lib.ru/INPROZ/ANDERSON_S/r_4_9_Urozhenka_Novoi_Anglii.txt,Уроженка Новой Англии,Андерсон Шервуд
16,http://lib.ru/INPROZ/ANDERSON_S/r_4_a10_Iz_niotkuda_v_nichto.txt,Из ниоткуда в ничто,Андерсон Шервуд
17,http://lib.ru/INPROZ/ANDERSON_S/r_5_1_Nu_i_durak.txt,Ну и дурак же я,Андерсон Шервуд
18,http://lib.ru/INPROZ/ANDERSON_S/r_5_2_Butylky_s_molokom.txt,Бутылки с молоком,Андерсон Шервуд
19,http://lib.ru/INPROZ/ANDERSON_S/r_5_3_Pechalnye_muzikanty.txt,Печальные музыканты,Андерсон Шервуд
20,http://lib.ru/INPROZ/ANDERSON_S/r_5_4_Povest_o_cheloveke.txt,Повесть о человеке,Андерсон Шервуд
21,http://lib.ru/INPROZ/ANDERSON_S/r_6_1_Smert_v_lesu.txt,Смерть в лесу,Андерсон Шервуд
22,http://lib.ru/INPROZ/ANDERSON_S/r_6_2_Vozvrashenie.txt,Возвращение,Андерсон Шервуд
23,http://lib.ru/INPROZ/ANDERSON_S/r_6_3_Pogibshiy_roman.txt,Погибший роман,Андерсон Шервуд
24,http://lib.ru/INPROZ/ANDERSON_S/r_6_4_Bratiya_i_smert.txt,Братья и смерть,Андерсон Шервуд
25,http://lib.ru/INPROZ/ANDERSON_S/r_7_1_Shedevr.txt,Шедевр Блекфута,Андерсон Шервуд
26,http://lib.ru/INPROZ/ANDERSON_S/r_7_2_Soglashenie.txt,Соглашение,Андерсон Шервуд
27,http://lib.ru/INPROZ/ANDERSON_S/r_7_3_Sev_maisa.txt,Сев маиса,Андерсон Шервуд
28,http://lib.ru/INPROZ/ANDERSON_S/r_7_4_Sud.txt,Суд,Андерсон Шервуд
29,http://lib.ru/INPROZ/ANDERSON_S/about.txt,Шервуд Андерсон: краткая справка,Андерсон Шервуд
30,http://lib.ru/INPROZ/ANDERSON_S/about_anderson.txt,Уильям Фолкнер. О Шервуде Андерсоне,Андерсон Шервуд
31,http://lib.ru/INPROZ/ANDERSON_S/Sherwood_Anderson_bio_spravka.txt,Б.Л.Кандель. Шервуд Андерсон,Андерсон Шервуд
32,http://lib.ru/INPROZ/ANDERSON_S/Anderson_0_portret.jpg,Anderson_0_portret.jpg,Андерсон Шервуд
33,http://lib.ru/INPROZ/ANDERSON_S/Anderson_1_Ruki.jpg,Anderson_1_Ruki.jpg,Андерсон Шервуд
34,http://lib.ru/INPROZ/ANDERSON_S/Anderson_2_Nevyskazannaya_lozh.jpg,Anderson_2_Nevyskazannaya_lozh.jpg,Андерсон Шервуд
35,http://lib.ru/INPROZ/ANDERSON_S/Anderson_3_Drugaya_zhenshina_4.jpg,Anderson_3_Drugaya_zhenshina_4.jpg,Андерсон Шервуд
36,http://lib.ru/INPROZ/ANDERSON_S/Anderson_4_Bratya.jpg,Anderson_4_Bratya.jpg,Андерсон Шервуд
37,http://lib.ru/INPROZ/ANDERSON_S/Anderson_5_Butylki_s_molokom.jpg,Anderson_5_Butylki_s_molokom.jpg,Андерсон Шервуд
