,url,book,author
0,http://lib.ru/INPROZ/MELWILL/mobidik.txt,Моби Дик или Белый кит,Мелвилл Герман
1,http://lib.ru/INPROZ/MELWILL/melvil02.txt,Веранда,Мелвилл Герман
2,http://lib.ru/INPROZ/MELWILL/melvil03.txt,Писец Бартлби,Мелвилл Герман
3,http://lib.ru/INPROZ/MELWILL/melvil04.txt,Бенито Серено,Мелвилл Герман
4,http://lib.ru/INPROZ/MELWILL/melvil05.txt,Торговец громоотводами,Мелвилл Герман
5,http://lib.ru/INPROZ/MELWILL/melvil06.txt,"Билли Бадд, фор-марсовый матрос",Мелвилл Герман
6,http://lib.ru/INPROZ/MELWILL/melvill_diary.txt,Дневник путешествия в Европу и Левант,Мелвилл Герман
7,http://lib.ru/INPROZ/MELWILL/melvill_islands.txt,Энкантадас или очарованные острова,Мелвилл Герман
8,http://lib.ru/INPROZ/MELWILL/melvill_i.gif,melvill_i.gif,Мелвилл Герман
