,url,book,author
0,http://lib.ru/INPROZ/../BORHES/kniga.txt,Коллекция (сборник рассказов),Борхес Хорхе Луис
1,http://lib.ru/INPROZ/../BORHES/kniga_snow.txt,Книга сноведений,Борхес Хорхе Луис
2,http://lib.ru/INPROZ/../BORHES/bogoslowy.txt,Богословы,Борхес Хорхе Луис
3,http://lib.ru/INPROZ/../BORHES/sozdatel.txt,Создатель,Борхес Хорхе Луис
4,http://lib.ru/INPROZ/../BORHES/b.txt,Избранные эссе и новеллы,Борхес Хорхе Луис
5,http://lib.ru/INPROZ/../BORHES/r_jug.txt,Юг,Борхес Хорхе Луис
6,http://lib.ru/INPROZ/../BORHES/r_chudo.txt,Тайное чудо,Борхес Хорхе Луис
7,http://lib.ru/INPROZ/../BORHES/r_funes.txt,"Фунес, Помнящий",Борхес Хорхе Луис
8,http://lib.ru/INPROZ/../BORHES/dumaya.txt,Думая вслух,Борхес Хорхе Луис
9,http://lib.ru/INPROZ/../BORHES/creature.txt,Книга вымышленных существ,Борхес Хорхе Луис
10,http://lib.ru/INPROZ/../BORHES/sad.txt,Сад расходящихся тропок,Борхес Хорхе Луис
11,http://lib.ru/INPROZ/../BORHES/borhes_dante.txt,Девять эссе о Данте,Борхес Хорхе Луис
12,http://lib.ru/INPROZ/../BORHES/7wecherow.txt,Семь вечеров,Борхес Хорхе Луис
13,http://lib.ru/INPROZ/../BORHES/25_awguta.txt,25 августа 1983 года,Борхес Хорхе Луис
14,http://lib.ru/INPROZ/../BORHES/apok_env.txt,Фрагменты апокрифического Евангелия,Борхес Хорхе Луис
15,http://lib.ru/INPROZ/../BORHES/broudi.txt,Cообщение Броуди,Борхес Хорхе Луис
16,http://lib.ru/INPROZ/../BORHES/pesok.txt,Книга Песка,Борхес Хорхе Луис
17,http://lib.ru/INPROZ/../BORHES/predislowia.txt,Предисловия,Борхес Хорхе Луис
18,http://lib.ru/INPROZ/../BORHES/natroeniq.txt,Новые настроения,Борхес Хорхе Луис
19,http://lib.ru/INPROZ/../BORHES/tigry.txt,Золото тигров,Борхес Хорхе Луис
20,http://lib.ru/INPROZ/../BORHES/luna.txt,Луна напротив,Борхес Хорхе Луис
21,http://lib.ru/INPROZ/../BORHES/sanmartin.txt,Сан-Мартинская Тетрадь,Борхес Хорхе Луис
22,http://lib.ru/INPROZ/../BORHES/moneta.txt,Железная монета,Борхес Хорхе Луис
23,http://lib.ru/INPROZ/../BORHES/roza.txt,Сокровенная роза,Борхес Хорхе Луис
24,http://lib.ru/INPROZ/../BORHES/night.txt,История ночи,Борхес Хорхе Луис
25,http://lib.ru/INPROZ/../BORHES/poruka.txt,Порука,Борхес Хорхе Луис
26,http://lib.ru/INPROZ/../BORHES/tnopis.txt,Тайнопись,Борхес Хорхе Луис
27,http://lib.ru/INPROZ/../BORHES/romanium.txt,Album Romanum: Коллекция переводов,Борхес Хорхе Луис
28,http://lib.ru/INPROZ/../BORHES/stihotworeniq1989.txt,Стихотворения,Борхес Хорхе Луис
29,http://lib.ru/INPROZ/../BORHES/int1.txt,Интервью. Со Сьюзен Зонтаг,Борхес Хорхе Луис
30,http://lib.ru/INPROZ/../BORHES/int2.txt,Интервью. С Антонио Каррисо,Борхес Хорхе Луис
31,http://lib.ru/INPROZ/../BORHES/int3.txt,Интервью. С Фернандо Соррентино,Борхес Хорхе Луис
32,http://lib.ru/INPROZ/../BORHES/int4.txt,Интервью. С Марией Эстер Васкес,Борхес Хорхе Луис
33,http://lib.ru/INPROZ/../BORHES/int5.txt,Интервью. С Освальдо Феррари,Борхес Хорхе Луис
34,http://lib.ru/INPROZ/../BORHES/int6.txt,Интервью. С Ритой Гиберт,Борхес Хорхе Луис
35,http://lib.ru/INPROZ/../BORHES/int7.txt,Интервью. С Жаном Де Мийере,Борхес Хорхе Луис
