,url,book,author
0,http://lib.ru/PROZA/KALEDIN/kladbishe.txt,Смиренное кладбище,Каледин Сергей
1,http://lib.ru/PROZA/KALEDIN/strojbat.txt,Стройбат,Каледин Сергей
2,http://lib.ru/PROZA/KALEDIN/kuku.txt,Ку-ку,Каледин Сергей
3,http://lib.ru/PROZA/KALEDIN/sktm.txt,Тахана мерказит,Каледин Сергей
4,http://lib.ru/PROZA/KALEDIN/koridor.txt,Коридор,Каледин Сергей
5,http://lib.ru/PROZA/KALEDIN/shabashka.txt,Шабашка Глеба Богдышева,Каледин Сергей
6,http://lib.ru/PROZA/KALEDIN/rabotnik.txt,Поп и работник,Каледин Сергей
7,http://lib.ru/PROZA/KALEDIN/http://www.hronos.km.ru/biograf/kaledins.html,Коротко об авторе,Каледин Сергей
8,http://lib.ru/PROZA/KALEDIN/http://www.poptsov.ru/alfavit/archives/2000/05/20-1.htm,"Интервью с писателем в ""Алфавите""",Каледин Сергей
9,http://lib.ru/PROZA/KALEDIN/http://heblit.al.ru:80/lips.html#sk,"Сергей Каледин на сайте ""Израильская литература на русском языке""",Каледин Сергей
