,url,book,author
0,http://lib.ru/PROZA/RYETHU_J/kity.txt,Когда киты уходят,Рытхэу Юрий
1,http://lib.ru/PROZA/RYETHU_J/r_chisla.txt,Числа Какота,Рытхэу Юрий
2,http://lib.ru/PROZA/RYETHU_J/r_love.txt,Любовь,Рытхэу Юрий
3,http://lib.ru/PROZA/RYETHU_J/r_baffin.txt,Воспоминание о Баффиновой Земле,Рытхэу Юрий
4,http://lib.ru/PROZA/RYETHU_J/r_bond.txt,Джеймс Бонд стучится в дверь,Рытхэу Юрий
5,http://lib.ru/PROZA/RYETHU_J/r_bumaga.txt,Женитьбенная бумага,Рытхэу Юрий
6,http://lib.ru/PROZA/RYETHU_J/r_molchanie.txt,Молчание в подарок,Рытхэу Юрий
7,http://lib.ru/PROZA/RYETHU_J/r_ogon.txt,Хранитель огня,Рытхэу Юрий
8,http://lib.ru/PROZA/RYETHU_J/r_piliken.txt,Сегодня в моде пиликены,Рытхэу Юрий
