,url,book,author
0,http://lib.ru/PROZA/../ZHITINSKIJ/about.txt,Об авторе,Житинский Александр
1,http://lib.ru/PROZA/../ZHITINSKIJ/biblio.txt,Библиография,Житинский Александр
2,http://lib.ru/PROZA/../ZHITINSKIJ/milord.txt,"Потерянный дом, или Разговоры с Милордом. Ч.1,2",Житинский Александр
3,http://lib.ru/PROZA/../ZHITINSKIJ/milord2.txt,"Потерянный дом, или Разговоры с Милордом. Ч.3,4",Житинский Александр
4,http://lib.ru/PROZA/../ZHITINSKIJ/epoch.txt,Дитя эпохи,Житинский Александр
5,http://lib.ru/PROZA/../ZHITINSKIJ/chasy.txt,Часы с вариантами,Житинский Александр
6,http://lib.ru/PROZA/../ZHITINSKIJ/lestnica.txt,Лестница,Житинский Александр
7,http://lib.ru/PROZA/../ZHITINSKIJ/boy.txt,Параллельный мальчик,Житинский Александр
8,http://lib.ru/PROZA/../ZHITINSKIJ/dr_borm.txt,Внук доктора Борменталя,Житинский Александр
9,http://lib.ru/PROZA/../ZHITINSKIJ/Jitin_Star.txt,Старичок с Большой Пушкарской,Житинский Александр
10,http://lib.ru/PROZA/../ZHITINSKIJ/Jitin_VizV.txt,Визит вежливости,Житинский Александр
11,http://lib.ru/PROZA/../ZHITINSKIJ/massne.txt,Элегия Массне,Житинский Александр
12,http://lib.ru/PROZA/../ZHITINSKIJ/../ZHURNAL/eter2.txt,Этер Паньи. Французская железная дорога,Житинский Александр
13,http://lib.ru/PROZA/../ZHITINSKIJ/http://www.macca.ru/,Официальный сайт Александра Житинского,Житинский Александр
14,http://lib.ru/PROZA/../ZHITINSKIJ/http://www.livejournal.com/users/maccolit/,LJ Александра Житинского,Житинский Александр
