,url,book,author
0,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/a/awdeew_m_w/,Авдеев Михаил Васильевич,Русская классика
1,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/a/awerkiew_d_w/,Аверкиев Дмитрий Васильевич,Русская классика
2,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/a/aksakow_i_s/,Аксаков Иван Сергеевич,Русская классика
3,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/a/aksakow_k_s/,Аксаков Константин Сергеевич,Русская классика
4,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/a/aksakow_s_t/,Аксаков Сергей Тимофеевич,Русская классика
5,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/a/amfiteatrow_a_w/,Амфитеатров Александр Валентинович,Русская классика
6,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/a/andreew_l_n/,Андреев Леонид Николаевич,Русская классика
7,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/a/annenkow_p_w/,Анненков Павел Васильевич,Русская классика
8,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/a/antonowich_m_a/,Антонович Максим Алексеевич,Русская классика
9,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/a/apuhtin_a_n/,Апухтин Алексей Николаевич,Русская классика
10,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/a/arcybashew_m_p/,Арцыбашев Михаил Петрович,Русская классика
11,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/balasoglo_a_p/,Баласогло Александр Пантелеймонович,Русская классика
12,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/balxdauf_f_i/,Бальдауф Федор Иванович,Русская классика
13,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/baratynskij_e_a/,Баратынский Евгений Абрамович,Русская классика
14,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/batenxkow_g_s/,Батеньков Гавриил Степанович,Русская классика
15,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/batjushkow_k_n/,Батюшков Константин Николаевич,Русская классика
16,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/bahturin_k_a/,Бахтурин Константин Александрович,Русская классика
17,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/beketowa_e_g/,Бекетова Елизавета Григорьевна,Русская классика
18,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/belinskij_w_g/,Белинский Виссарион Григорьевич,Русская классика
19,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/benediktow_w_g/,Бенедиктов Владимир Григорьевич,Русская классика
20,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/benitckij_a_p/,Бенитцкий Александр Петрович,Русская классика
21,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/berg_n_w/,Берг Николай Васильевич,Русская классика
22,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/bernet_e/,Бернет Е.,Русская классика
23,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/bestuzhewmarlins_a_a/,Бестужев-Марлинский Александр Александрович,Русская классика
24,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/blok_a_a/,Блок Александр Александрович,Русская классика
25,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/boborykin_p_d/,Боборыкин Петр Дмитриевич,Русская классика
26,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/bogdanowicha_i_f/,Богданович Ипполит Федорович,Русская классика
27,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/borozdna_i_p/,Бороздна Иван Петрович,Русская классика
28,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/brjusow_w_j/,Брюсов Валерий Яковлевич,Русская классика
29,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/b/bulgarin_f_w/,Булгарин Фаддей Венедиктович,Русская классика
30,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/w/wejnberg_p_i/,Вейнберг Петр Исаевич,Русская классика
31,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/w/welxtman_a_f/,Вельтман Александр Фомич,Русская классика
32,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/w/wenewitinow_d_w/,Веневитинов Дмитрий Владимирович,Русская классика
33,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/w/weresaew_w_w/,Вересаев Викентий Викентьевич,Русская классика
34,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/w/wowchok_m/,Вовчок Марко,Русская классика
35,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/w/wodowozowa_e_n/,Водовозова Елизавета Николаевна,Русская классика
36,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/w/woejkow_a_f/,Воейков Александр Федорович,Русская классика
37,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/w/wronchenko_m_p/,Вронченко Михаил Павлович,Русская классика
38,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/w/wysheslawcew_m_m/,Вышеславцев Михаил Михайлович,Русская классика
39,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/w/wjazemskij_p_p/,Вяземский Павел Петрович,Русская классика
40,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/w/wjazemskij_p_a/,Вяземский Петр Андреевич,Русская классика
41,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/gan_e_a/,Ган Елена Андреевна,Русская классика
42,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/garinmihajlowskij_n/,Гарин-Михайловский Николай,Русская классика
43,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/garshin_w_m/,Гаршин Всеволод Михайлович,Русская классика
44,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/gejnce_n_e/,Гейнце Николай Эдуардович,Русская классика
45,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/gercen_a_i/,Герцен Александр Иванович,Русская классика
46,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/glebow_d_p/,Глебов Дмитрий Петрович,Русская классика
47,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/glinka_s_n/,Глинка Сергей Николаевич,Русская классика
48,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/glinka_f_n/,Глинка Федор Николаевич,Русская классика
49,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/gnedich_n_i/,Гнедич Николай Иванович,Русская классика
50,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/gnedich_p_p/,Гнедич Петр Петрович,Русская классика
51,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/gogolx_n_w/,Гоголь Николай Васильевич,Русская классика
52,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/goncharow_i_a/,Гончаров Иван Александрович,Русская классика
53,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/gorxkij_m/,Горький Максим,Русская классика
54,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/grammatin_n_f/,Грамматин Николай Федорович,Русская классика
55,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/grech_n_i/,Греч Николай Иванович,Русская классика
56,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/griboedow_a_s/,Грибоедов Александр Сергеевич,Русская классика
57,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/grigorowich_d_w/,Григорович Дмитрий Васильевич,Русская классика
58,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/grigorxew_a_a/,Григорьев Аполлон Александрович,Русская классика
59,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/grigorxew_w_n/,Григорьев Василий Никифорович,Русская классика
60,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/g/guber_e_i/,Губер Эдуард Иванович,Русская классика
61,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/d/dawydow_d_w/,Давыдов Денис Васильевич,Русская классика
62,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/d/danilewskij_g_p/,Данилевский Григорий Петрович,Русская классика
63,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/d/dashkowa_e_r/,Дашкова Екатерина Романовна,Русская классика
64,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/d/delxwig_a_a/,Дельвиг Антон Антонович,Русская классика
65,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/d/derzhawin_g_r/,Державин Гавриил Романович,Русская классика
66,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/d/dmitriew_i_i/,Дмитриев Иван Иванович,Русская классика
67,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/d/dmitriew_m_a/,Дмитриев Михаил Александрович,Русская классика
68,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/d/dobroljubow_n_a/,Добролюбов Николай Александрович,Русская классика
69,http://lib.ru/PROZA/../LITRA/http://az.lib.ru/d/dostoewskij_f_m/,Достоевский Федор Михайлович,Русская классика
