,url,book,author
0,http://lib.ru/RUSSLIT/FADEEW/razgrom.txt,Разгром,Фадеев Александр
1,http://lib.ru/RUSSLIT/FADEEW/mol_gwardiya.txt,Молодая гвардия,Фадеев Александр
2,http://lib.ru/RUSSLIT/FADEEW/amgun.txt,Рождение амгуньского полка,Фадеев Александр
3,http://lib.ru/RUSSLIT/FADEEW/bednbogt.txt,О бедности и богатстве,Фадеев Александр
4,http://lib.ru/RUSSLIT/FADEEW/metal.txt,Черная металлургия,Фадеев Александр
5,http://lib.ru/RUSSLIT/FADEEW/odin.txt,Один в чаще,Фадеев Александр
6,http://lib.ru/RUSSLIT/FADEEW/razliv.txt,Разлив,Фадеев Александр
7,http://lib.ru/RUSSLIT/FADEEW/udege.txt,Последний из удэге,Фадеев Александр
8,http://lib.ru/RUSSLIT/FADEEW/zemletr.txt,Землетрясение,Фадеев Александр
9,http://lib.ru/RUSSLIT/FADEEW/ofadeeve.txt,В.Озеров. Певец революционной эпохи,Фадеев Александр
