,url,book,author
0,http://lib.ru/PROZA/WOJNOWICH/voinovich1_3.txt,Расстояние в полкилометра,Войнович Владимир
1,http://lib.ru/PROZA/WOJNOWICH/voinovich1_4.txt,Владычица,Войнович Владимир
2,http://lib.ru/PROZA/WOJNOWICH/voinovich1_5.txt,Степень доверия,Войнович Владимир
3,http://lib.ru/PROZA/WOJNOWICH/voinovich1_7.txt,В кругу друзей,Войнович Владимир
4,http://lib.ru/PROZA/WOJNOWICH/voinovich1_8.txt,Открытые письма,Войнович Владимир
5,http://lib.ru/PROZA/WOJNOWICH/voinovich4_1.txt,Между жанрами,Войнович Владимир
6,http://lib.ru/PROZA/WOJNOWICH/voinovich4_2.txt,Фиктивный брак,Войнович Владимир
7,http://lib.ru/PROZA/WOJNOWICH/http://www.voinovich.ru/,Владимир Войнович: home page,Войнович Владимир
8,http://lib.ru/PROZA/WOJNOWICH/http://magazines.russ.ru/znamia/n2-20/voyno.htm,Монументальная пропаганда,Войнович Владимир
9,http://lib.ru/PROZA/WOJNOWICH/http://www.voinovich.ru/portret.htm,Портрет на фоне мифа,Войнович Владимир
