,url,book,author
0,http://lib.ru/PROZA/../CULTURE/LITSTUDY/LUKNICKAYA/tri_sensacii.txt,Любовник. Рыцарь. Летописец(Три сенсации из Серебряного века),Лукницкая Вера
1,http://lib.ru/PROZA/../CULTURE/LITSTUDY/LUKNICKAYA/luknickij.txt,Перед тобой земля (о П.Н.Лукницком),Лукницкая Вера
2,http://lib.ru/PROZA/../CULTURE/LITSTUDY/LUKNICKAYA/,Рисунки Н.С.Гумилева из архива П.Н.Лукницкого,Лукницкая Вера
3,http://lib.ru/PROZA/../CULTURE/LITSTUDY/LUKNICKAYA/gumilew.txt,Николай Гумилев,Лукницкая Вера
4,http://lib.ru/PROZA/../CULTURE/LITSTUDY/LUKNICKAYA/eliseew.txt,Пусть будет земля (об А.В.Елисееве),Лукницкая Вера
5,http://lib.ru/PROZA/../CULTURE/LITSTUDY/LUKNICKAYA/ego.txt,EGO - ЭХО (Прелюдии),Лукницкая Вера
6,http://lib.ru/PROZA/../CULTURE/LITSTUDY/LUKNICKAYA/../../../PROZA/LOUKNITSKIY/,Сергей Лукницкий,Лукницкая Вера
7,http://lib.ru/PROZA/../CULTURE/LITSTUDY/LUKNICKAYA/../../../PROZA/LOUKNITSKIY_P/,Павел Николаевич Лукницкий,Лукницкая Вера
8,http://lib.ru/PROZA/../CULTURE/LITSTUDY/LUKNICKAYA/../../../GUMILEW/,Николай Гумилев,Лукницкая Вера
9,http://lib.ru/PROZA/../CULTURE/LITSTUDY/LUKNICKAYA/vera_luknickaya.jpg,vera_luknickaya.jpg,Лукницкая Вера
10,http://lib.ru/PROZA/../CULTURE/LITSTUDY/LUKNICKAYA/about.txt,Вера Константиновна Лукницкая,Лукницкая Вера
