,url,book,author
0,http://lib.ru/PROZA/../FISKANDER/sandro1.txt,Сандро из Чегема (Книга 1),Искандер Фазиль
1,http://lib.ru/PROZA/../FISKANDER/sandro2.txt,Сандро из Чегема (Книга 2),Искандер Фазиль
2,http://lib.ru/PROZA/../FISKANDER/sandro3.txt,Сандро из Чегема (Книга 3),Искандер Фазиль
3,http://lib.ru/PROZA/../FISKANDER/stoyanka.txt,Стоянка человека,Искандер Фазиль
4,http://lib.ru/PROZA/../FISKANDER/waltz.txt,"Школьный вальс, или Энергия стыда",Искандер Фазиль
5,http://lib.ru/PROZA/../FISKANDER/kroliki.txt,Кролики и удавы,Искандер Фазиль
6,http://lib.ru/PROZA/../FISKANDER/kozlotur.txt,Созвездие Козлотура,Искандер Фазиль
7,http://lib.ru/PROZA/../FISKANDER/isk_ms.txt,Морской скорпион,Искандер Фазиль
8,http://lib.ru/PROZA/../FISKANDER/isk_sof.txt,Софичка,Искандер Фазиль
9,http://lib.ru/PROZA/../FISKANDER/isk_amer.txt,Думающий о России и американец,Искандер Фазиль
10,http://lib.ru/PROZA/../FISKANDER/iskan_poet.txt,Поэт,Искандер Фазиль
11,http://lib.ru/PROZA/../FISKANDER/isk_publ.txt,Эссе и публицистика,Искандер Фазиль
12,http://lib.ru/PROZA/../FISKANDER/isk_rassk2.txt,Рассказы (1999),Искандер Фазиль
13,http://lib.ru/PROZA/../FISKANDER/isk_rassk3.txt,Рассказы о Чике,Искандер Фазиль
14,http://lib.ru/PROZA/../FISKANDER/isk_rassk4.txt,Разные рассказы {4},Искандер Фазиль
15,http://lib.ru/PROZA/../FISKANDER/isk_rassk5.txt,Рассказы разных лет,Искандер Фазиль
16,http://lib.ru/PROZA/../FISKANDER/isk_rassk1.txt,Англичанин с женой и ребенком. Попутчики,Искандер Фазиль
17,http://lib.ru/PROZA/../FISKANDER/isk_rassk6.txt,Два рассказа,Искандер Фазиль
18,http://lib.ru/PROZA/../FISKANDER/starik.txt,Жил старик со своею старушкой,Искандер Фазиль
19,http://lib.ru/PROZA/../FISKANDER/awtoritet.txt,Авторитет,Искандер Фазиль
20,http://lib.ru/PROZA/../FISKANDER/malxchik.txt,Мальчик и война,Искандер Фазиль
21,http://lib.ru/PROZA/../FISKANDER/looses.txt,Утраты,Искандер Фазиль
22,http://lib.ru/PROZA/../FISKANDER/poryadok.txt,Привычка наводить порядок,Искандер Фазиль
23,http://lib.ru/PROZA/../FISKANDER/isk_gost.txt,Незваный гость,Искандер Фазиль
24,http://lib.ru/PROZA/../FISKANDER/isk_moj_dyadya.txt,Мой дядя самых честных правил,Искандер Фазиль
25,http://lib.ru/PROZA/../FISKANDER/isk_dom.txt,Дом в переулке,Искандер Фазиль
26,http://lib.ru/PROZA/../FISKANDER/r_antip_uehal_v_kazantip.txt,Антип уехал в Казантип,Искандер Фазиль
27,http://lib.ru/PROZA/../FISKANDER/r_bahus_i_bah.txt,Бахус и Бах,Искандер Фазиль
