,url,book,author
0,http://lib.ru/PROZA/../DOWLATOW/arxew.txt,Андрей Арьев. Наша маленькая жизнь,Довлатов Сергей
1,http://lib.ru/PROZA/../DOWLATOW/dowlatow.txt,Соло на ундервуде,Довлатов Сергей
2,http://lib.ru/PROZA/../DOWLATOW/kompromiss.txt,Компромисс,Довлатов Сергей
3,http://lib.ru/PROZA/../DOWLATOW/ariel.txt,Ариэль,Довлатов Сергей
4,http://lib.ru/PROZA/../DOWLATOW/igrushka.txt,Игрушка,Довлатов Сергей
5,http://lib.ru/PROZA/../DOWLATOW/wstretilisx.txt,"Встретились, поговорили",Довлатов Сергей
6,http://lib.ru/PROZA/../DOWLATOW/winograd.txt,Виноград,Довлатов Сергей
7,http://lib.ru/PROZA/../DOWLATOW/literatura.txt,Литература продолжается,Довлатов Сергей
8,http://lib.ru/PROZA/../DOWLATOW/r_predstawlenie.txt,Представление,Довлатов Сергей
9,http://lib.ru/PROZA/../DOWLATOW/dalxshe.txt,Дальше,Довлатов Сергей
10,http://lib.ru/PROZA/../DOWLATOW/ogonek.txt,Жизнь коротка,Довлатов Сергей
11,http://lib.ru/PROZA/../DOWLATOW/http://www.svoboda.org/programs/cicles/Dovlatov/,"""Довлатов и окрестности"" (подготовил А.Генис)",Довлатов Сергей
12,http://lib.ru/PROZA/../DOWLATOW/../MEMUARY/PEKUROVSKAYA/dovlatov.txt,Ася Пекуровская. Когда случилось петь С.D. и мне,Довлатов Сергей
13,http://lib.ru/PROZA/../DOWLATOW/http://www.moldsat.md/sympad/archive/etext1/orig/ru/prose/dovlatov/,Подборка Довлатова на Sympad,Довлатов Сергей
14,http://lib.ru/PROZA/../DOWLATOW/http://www.sergeidovlatov.com,Все о Довлатове у Александра Данилюка,Довлатов Сергей
15,http://lib.ru/PROZA/../DOWLATOW/http://www.pseudology.org/Dovlatov/Podrugi/Zibunova/index.htm,Тамара Зибунова. О Довлатове: дневники и письма,Довлатов Сергей
16,http://lib.ru/PROZA/../DOWLATOW/http://zibunova.narod.ru/,Тамара Зибунова. Home page: О Довлатове и др.,Довлатов Сергей
17,http://lib.ru/PROZA/../DOWLATOW/http://www.pseudology.org/Dovlatov/index.htm,Фатех Вергасов. О Сергее Довлатове,Довлатов Сергей
18,http://lib.ru/PROZA/../DOWLATOW/http://sergdovlatov.narod.ru/,Сайт о Сергее Довлатове на Narod.ру,Довлатов Сергей
