,url,book,author
0,http://lib.ru/INPROZ/KERI/fearful.txt,Радость и страх,Кэри Джойс
1,http://lib.ru/INPROZ/KERI/hero.txt,Герой нашего времени,Кэри Джойс
2,http://lib.ru/INPROZ/KERI/mature.txt,Повзрослели,Кэри Джойс
3,http://lib.ru/INPROZ/KERI/moonfame.txt,Слава луны,Кэри Джойс
4,http://lib.ru/INPROZ/KERI/mysterio.txt,Загадочная история,Кэри Джойс
5,http://lib.ru/INPROZ/KERI/newwomen.txt,Новые женщины,Кэри Джойс
6,http://lib.ru/INPROZ/KERI/our_time.txt,В ногу с временем,Кэри Джойс
7,http://lib.ru/INPROZ/KERI/psycholo.txt,Психолог,Кэри Джойс
8,http://lib.ru/INPROZ/KERI/sheep.txt,Овца,Кэри Джойс
9,http://lib.ru/INPROZ/KERI/youth.txt,Молодость бывает только раз,Кэри Джойс
