,url,book,author
0,http://lib.ru/INPROZ/ENDE/istoriya.txt,"Бесконечная история (пер.Исаева, Лунгина)",Энде Михаэль
1,http://lib.ru/INPROZ/ENDE/istoriyanest.txt,Бесконечная история (пер.NeStor),Энде Михаэль
2,http://lib.ru/INPROZ/ENDE/ofelia.txt,Театр теней Офелии,Энде Михаэль
3,http://lib.ru/INPROZ/ENDE/momo_engl.txt,Момо (engl),Энде Михаэль
4,http://lib.ru/INPROZ/ENDE/napitok.txt,Волшебный напиток,Энде Михаэль
5,http://lib.ru/INPROZ/ENDE/http://nest.udm.net/unter/nes/yourstory.htm,"""Бесконечная история"" в переводе NeStor",Энде Михаэль
