,url,book,author
0,http://lib.ru/INPROZ/../TALES/LAGERLEF/legendy.txt,Легенды о Христе,Лагерлеф Сельма
1,http://lib.ru/INPROZ/../TALES/LAGERLEF/swecha.txt,"Чудесная свеча (фрагменты из романа ""Иерусалим"")",Лагерлеф Сельма
2,http://lib.ru/INPROZ/../TALES/LAGERLEF/nils_gusi.txt,Чудесное путешествие Нильса с дикими гусями,Лагерлеф Сельма
3,http://lib.ru/INPROZ/../TALES/LAGERLEF/persten__levenshel_dov.txt,1. Перстень Левеншельдов,Лагерлеф Сельма
4,http://lib.ru/INPROZ/../TALES/LAGERLEF/sharlotta_levenshel_d.txt,2. Шарлотта Левеншельд,Лагерлеф Сельма
5,http://lib.ru/INPROZ/../TALES/LAGERLEF/anna_sverd.txt,3. Анна Сверд,Лагерлеф Сельма
