,url,book,author
0,http://lib.ru/INPROZ/../GESSE/biser0.txt,Игра в бисер (пер.С.Апт) [1943],Гессе Герман
1,http://lib.ru/INPROZ/../GESSE/biser.txt,"Игра в бисер (пер.Каравкина,Розанов)",Гессе Герман
2,http://lib.ru/INPROZ/../GESSE/vostok.txt,Паломничество в страну Востока [1926],Гессе Герман
3,http://lib.ru/INPROZ/../GESSE/sid.txt,Сиддхартха,Гессе Герман
4,http://lib.ru/INPROZ/../GESSE/hesse_siddhartha_germ.txt,Сиддхартха (На немецком языке),Гессе Герман
5,http://lib.ru/INPROZ/../GESSE/narciss.txt,Нарцисс и Гольдмунд,Гессе Герман
6,http://lib.ru/INPROZ/../GESSE/roshalde.txt,Росхальде,Гессе Герман
7,http://lib.ru/INPROZ/../GESSE/skazki.txt,"Сказки, легенды, притчи (11 рассказов)",Гессе Герман
8,http://lib.ru/INPROZ/../GESSE/starost.txt,О старости [1952],Гессе Герман
9,http://lib.ru/INPROZ/../GESSE/owolke.txt,О Степном волке [1927],Гессе Герман
10,http://lib.ru/INPROZ/../GESSE/chelowek.txt,Книжный человек,Гессе Герман
11,http://lib.ru/INPROZ/../GESSE/wolk.txt,Волк [1902],Гессе Герман
12,http://lib.ru/INPROZ/../GESSE/stihi.txt,Китайский мотив,Гессе Герман
13,http://lib.ru/INPROZ/../GESSE/http://www.franklang.ru/,Гессе на сайте franklang.ru,Гессе Герман
