,url,book,author
0,http://lib.ru/INPROZ/KASARES/planpobega.txt,План побега,Касарес Адольфо Биой
1,http://lib.ru/INPROZ/KASARES/izobretenie.txt,Изобретение Мореля,Касарес Адольфо Биой
2,http://lib.ru/INPROZ/KASARES/kasares1_1.txt,Рассказы,Касарес Адольфо Биой
3,http://lib.ru/INPROZ/KASARES/r_forma.txt,О форме мира,Касарес Адольфо Биой
4,http://lib.ru/INPROZ/KASARES/r_hero.txt,Герой женщин,Касарес Адольфо Биой
5,http://lib.ru/INPROZ/KASARES/r_mogila.txt,Как рыть могилу,Касарес Адольфо Биой
6,http://lib.ru/INPROZ/KASARES/r_pauki.txt,Пауки и мухи,Касарес Адольфо Биой
7,http://lib.ru/INPROZ/KASARES/r_tenew.txt,Теневая сторона,Касарес Адольфо Биой
