,url,book,author
45,http://lib.ru/RUSSLIT/PANTELEEW/love.txt,Всепоглощающая любовь,Пантелеев Алексей; Белых Григорий
46,http://lib.ru/RUSSLIT/PANTELEEW/vosade.txt,В осажденном городе,Пантелеев Алексей; Белых Григорий
47,http://lib.ru/RUSSLIT/PANTELEEW/yan44.txt,Январь 1944,Пантелеев Алексей; Белых Григорий
48,http://lib.ru/RUSSLIT/PANTELEEW/schuch.txt,У Щучьего озера,Пантелеев Алексей; Белых Григорий
49,http://lib.ru/RUSSLIT/PANTELEEW/rejs.txt,Рейс No 14-31-19,Пантелеев Алексей; Белых Григорий
50,http://lib.ru/RUSSLIT/PANTELEEW/zemmel.txt,Земмель,Пантелеев Алексей; Белых Григорий
51,http://lib.ru/RUSSLIT/PANTELEEW/eksteatr.txt,Экспериментальный театр,Пантелеев Алексей; Белых Григорий
52,http://lib.ru/RUSSLIT/PANTELEEW/gorki.txt,Рыжее пятно,Пантелеев Алексей; Белых Григорий
53,http://lib.ru/RUSSLIT/PANTELEEW/budenyj.txt,Братишка наш Буденный...,Пантелеев Алексей; Белых Григорий
54,http://lib.ru/RUSSLIT/PANTELEEW/marshak.txt,Маршак и Людоед,Пантелеев Алексей; Белых Григорий
55,http://lib.ru/RUSSLIT/PANTELEEW/kvitko.txt,Квитко,Пантелеев Алексей; Белых Григорий
56,http://lib.ru/RUSSLIT/PANTELEEW/tyrsa.txt,Тырса,Пантелеев Алексей; Белых Григорий
57,http://lib.ru/RUSSLIT/PANTELEEW/shvarc.txt,Шварц,Пантелеев Алексей; Белых Григорий
58,http://lib.ru/RUSSLIT/PANTELEEW/shvarc2.txt,Письмо в Соловьевку,Пантелеев Алексей; Белых Григорий
59,http://lib.ru/RUSSLIT/PANTELEEW/zhitkov.txt,Ни на один оборот,Пантелеев Алексей; Белых Григорий
60,http://lib.ru/RUSSLIT/PANTELEEW/londons.txt,"Гостиница ""Лондонская""",Пантелеев Алексей; Белых Григорий
61,http://lib.ru/RUSSLIT/PANTELEEW/avtograf.txt,История одного автографа,Пантелеев Алексей; Белых Григорий
62,http://lib.ru/RUSSLIT/PANTELEEW/anechka.txt,Анечка,Пантелеев Алексей; Белых Григорий
63,http://lib.ru/RUSSLIT/PANTELEEW/nguest.txt,Ночные гости,Пантелеев Алексей; Белых Григорий
64,http://lib.ru/RUSSLIT/PANTELEEW/statii.txt,Разговор с читателем,Пантелеев Алексей; Белых Григорий
65,http://lib.ru/RUSSLIT/PANTELEEW/zapkn.txt,Из старых записных книжек. 1924-1947,Пантелеев Алексей; Белых Григорий
66,http://lib.ru/RUSSLIT/PANTELEEW/r_pantelev.txt,Пантелеев,Пантелеев Алексей; Белых Григорий
67,http://lib.ru/RUSSLIT/PANTELEEW/about.txt,"Г.Антонова, Е.Путилова. Коротко об авторе",Пантелеев Алексей; Белых Григорий
