,url,book,author
0,http://lib.ru/INPROZ/../POEZIQ/RUSHDI/mawr.txt,Прощальный вздох мавра,Рушди Салман
1,http://lib.ru/INPROZ/../POEZIQ/RUSHDI/styd.txt,Стыд,Рушди Салман
2,http://lib.ru/INPROZ/../POEZIQ/RUSHDI/author.gif,author.gif,Рушди Салман
3,http://lib.ru/INPROZ/../POEZIQ/RUSHDI/http://tkihi.narod.ru,"Официальный сайт перевода ""Сатаниских стихов""",Рушди Салман
4,http://lib.ru/INPROZ/../POEZIQ/RUSHDI/http://artefact.lib.ru/library/rushdie.htm,"Салман Рушди в ""Артефакте""",Рушди Салман
5,http://lib.ru/INPROZ/../POEZIQ/RUSHDI/http://satanic-verses.narod.ru/,Салман Рушди в переводе Анны Нэнси Оуэн,Рушди Салман
6,http://lib.ru/INPROZ/../POEZIQ/RUSHDI/http://booknik.ru/reviews/fiction/?id=27501,"Рецензия на ""Booknik.ru"": Потерявшийся рай (Салман Рушди. Клоун Шалимар)",Рушди Салман
7,http://lib.ru/INPROZ/../POEZIQ/RUSHDI/http://booknik.ru/reviews/fiction/?id=29707,"Рецензия на ""Booknik.ru"": По пути из Бомбея в Мумбай. Рецензия на книгу С. Рушди ""Земля под ее ногами"".",Рушди Салман
8,http://lib.ru/INPROZ/../POEZIQ/RUSHDI/http://booknik.ru/reviews/fiction/?id=27501,"Рецензия на ""Booknik.ru"": Потерявшийся рай. Рецензия на книгу С. Рушди ""Клоун Шалимар"".",Рушди Салман
