,url,book,author
0,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/pigmej.txt,Слова пигмея,Акутагава Рюноскэ
1,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/will.txt,Завещание,Акутагава Рюноскэ
2,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/okna.txt,Три окна,Акутагава Рюноскэ
3,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/bat_mush.txt,Бататовая каша,Акутагава Рюноскэ
4,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/dev_tobc.txt,Табак и дьявол,Акутагава Рюноскэ
5,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/fortune.txt,Счастье,Акутагава Рюноскэ
6,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/handkerc.txt,Носовой платок,Акутагава Рюноскэ
7,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/het_mask.txt,Маска Хеттоко,Акутагава Рюноскэ
8,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/louses.txt,Вши,Акутагава Рюноскэ
9,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/menzura.txt,Mensura Zoili,Акутагава Рюноскэ
10,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/monkey.txt,Обезьяна,Акутагава Рюноскэ
11,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/nose.txt,Нос,Акутагава Рюноскэ
12,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/ras_gate.txt,Ворота Расемон,Акутагава Рюноскэ
13,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/sol_hell.txt,Ад одиночества,Акутагава Рюноскэ
14,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/thicket.txt,В чаще,Акутагава Рюноскэ
15,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/waterman.txt,В стране водяных,Акутагава Рюноскэ
16,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/bisej.txt,Как верил Бисэй,Акутагава Рюноскэ
17,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/loshad.txt,Лошадиные ноги,Акутагава Рюноскэ
18,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-06.txt,"Рассказ о том, как отвалилась голова",Акутагава Рюноскэ
19,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-07.txt,Кэса и Морито,Акутагава Рюноскэ
20,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-09.txt,Муки ада,Акутагава Рюноскэ
21,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-10.txt,О себе в те годы,Акутагава Рюноскэ
22,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-11.txt,Мандарины,Акутагава Рюноскэ
23,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-12.txt,Сомнение,Акутагава Рюноскэ
24,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-13.txt,Дзюриано Китискэ,Акутагава Рюноскэ
25,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-15.txt,Лук,Акутагава Рюноскэ
26,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-17.txt,Сусоноо-но микото на склоне лет,Акутагава Рюноскэ
27,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-18.txt,Нанкинский Христос,Акутагава Рюноскэ
28,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-20.txt,Подкидыш,Акутагава Рюноскэ
29,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-21.txt,Генерал,Акутагава Рюноскэ
30,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-22.txt,Усмешка богов,Акутагава Рюноскэ
31,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-23.txt,Вагонетка,Акутагава Рюноскэ
32,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-24.txt,Повесть об отплате за добро,Акутагава Рюноскэ
33,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-25.txt,Чистота о-Томи,Акутагава Рюноскэ
34,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-26.txt,О-Гин,Акутагава Рюноскэ
35,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-27.txt,Сражение обезьяны с крабом,Акутагава Рюноскэ
36,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-28.txt,Из записок Ясукити,Акутагава Рюноскэ
37,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-29.txt,Снежок,Акутагава Рюноскэ
38,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-30.txt,"Из заметок ""В связи с великим землетрясением""",Акутагава Рюноскэ
39,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-31.txt,А-ба-ба-ба-ба,Акутагава Рюноскэ
40,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-32.txt,Ком земли,Акутагава Рюноскэ
41,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-33.txt,Холод,Акутагава Рюноскэ
42,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-34.txt,Десятииеновая бумажка,Акутагава Рюноскэ
43,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-36.txt,"Из ""Слов пигмея""",Акутагава Рюноскэ
44,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-37.txt,"Из заметок ""Текодо""",Акутагава Рюноскэ
45,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-38.txt,Зубчатые колеса,Акутагава Рюноскэ
46,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/4a-39.txt,Жизнь идиота,Акутагава Рюноскэ
47,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/r_swyatoj.txt,Святой,Акутагава Рюноскэ
48,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/akutagava_haiku.txt,"Из книги ""Собрание хайку Текодо""",Акутагава Рюноскэ
