,url,book,author
0,http://lib.ru/PROZA/../PRISHWIN/you_and_me.txt,Мы с тобой. Дневник любви,Пришвин Михаил
1,http://lib.ru/PROZA/../PRISHWIN/etazhi.txt,Этажи леса,Пришвин Михаил
2,http://lib.ru/PROZA/../PRISHWIN/kladsoln.txt,Кладовая солнца,Пришвин Михаил
3,http://lib.ru/PROZA/../PRISHWIN/lesnhoz.txt,Лесной хозяин,Пришвин Михаил
4,http://lib.ru/PROZA/../PRISHWIN/chasha.txt,Мирская чаша,Пришвин Михаил
5,http://lib.ru/PROZA/../PRISHWIN/golubi.txt,Голубиная книга,Пришвин Михаил
6,http://lib.ru/PROZA/../PRISHWIN/zemlq.txt,От земли и городов,Пришвин Михаил
7,http://lib.ru/PROZA/../PRISHWIN/putesh.txt,Путешествие,Пришвин Михаил
8,http://lib.ru/PROZA/../PRISHWIN/koshej.txt,Кощеева цепь,Пришвин Михаил
9,http://lib.ru/PROZA/../PRISHWIN/green.txt,Зеленый шум,Пришвин Михаил
10,http://lib.ru/PROZA/../PRISHWIN/http://www.museum.ru/M490,Дом-музей Пришвина,Пришвин Михаил
11,http://lib.ru/PROZA/../PRISHWIN/http://www.pereplet.ru/museum/prishvin.shtml,Дом-музей Пришвина,Пришвин Михаил
