,url,book,author
0,http://lib.ru/PROZA/YASHIN/sirota.txt,Сирота,Яшин Александр
1,http://lib.ru/PROZA/YASHIN/ostrow.txt,Сладкий остров,Яшин Александр
2,http://lib.ru/PROZA/YASHIN/prishwin.txt,Вместе с Пришвиным,Яшин Александр
3,http://lib.ru/PROZA/YASHIN/rychagi.txt,Рычаги,Яшин Александр
4,http://lib.ru/PROZA/YASHIN/ryabina.txt,Рассказы,Яшин Александр
5,http://lib.ru/PROZA/YASHIN/anketa.txt,"Вместо ответа на анкету о народности поэзии, о национальных и классических традициях ее",Яшин Александр
6,http://lib.ru/PROZA/YASHIN/http://www.hronos.km.ru/biograf/yashin.html,Об авторе,Яшин Александр
