,url,book,author
0,http://lib.ru/PROZA/AJTMATOW/plaha.txt,Плаха,Айтматов Чингиз
1,http://lib.ru/PROZA/AJTMATOW/parohod.txt,Белый пароход,Айтматов Чингиз
2,http://lib.ru/PROZA/AJTMATOW/oblako.txt,Белое облако Чингисхана,Айтматов Чингиз
3,http://lib.ru/PROZA/AJTMATOW/pegij.txt,"Пегий пес, бегущий краем моря",Айтматов Чингиз
4,http://lib.ru/PROZA/AJTMATOW/mpole.txt,Материнское поле,Айтматов Чингиз
5,http://lib.ru/PROZA/AJTMATOW/verglaz.txt,Верблюжий глаз,Айтматов Чингиз
6,http://lib.ru/PROZA/AJTMATOW/aitm_face.txt,Лицом к лицу,Айтматов Чингиз
7,http://lib.ru/PROZA/AJTMATOW/aitm_white.txt,И дольше века длится день (Буранный полустанок),Айтматов Чингиз
8,http://lib.ru/PROZA/AJTMATOW/r_plach.txt,Плач перелетной птицы,Айтматов Чингиз
9,http://lib.ru/PROZA/AJTMATOW/chingiz.txt,Е.Шаблиовский. Слово о Чингизе Айтматове,Айтматов Чингиз
10,http://lib.ru/PROZA/AJTMATOW/http://magazines.russ.ru/authors/a/ajtmatov/,"Чингиз Айтматов в ""Русском Журнале""",Айтматов Чингиз
11,http://lib.ru/PROZA/AJTMATOW/http://polustanok.narod.ru,http://polustanok.narod.ru,Айтматов Чингиз
