,url,book,author
0,http://lib.ru/PROZA/../BULGAKOW/zapiskiw.txt,Записки юного врача,Булгаков Михаил
1,http://lib.ru/PROZA/../BULGAKOW/whtguard.txt,Белая гвардия,Булгаков Михаил
2,http://lib.ru/PROZA/../BULGAKOW/eggs.txt,Роковые яйца,Булгаков Михаил
3,http://lib.ru/PROZA/../BULGAKOW/eggs_engl.txt,The Fateful Eggs,Булгаков Михаил
4,http://lib.ru/PROZA/../BULGAKOW/r_island.txt,Багровый остров,Булгаков Михаил
5,http://lib.ru/PROZA/../BULGAKOW/teatral.txt,Театральный роман,Булгаков Михаил
6,http://lib.ru/PROZA/../BULGAKOW/diavoliada.txt,Дьяволиада,Булгаков Михаил
7,http://lib.ru/PROZA/../BULGAKOW/hanskij.txt,Ханский огонь,Булгаков Михаил
8,http://lib.ru/PROZA/../BULGAKOW/molier.txt,Жизнь господина де Мольера,Булгаков Михаил
9,http://lib.ru/PROZA/../BULGAKOW/ma_chernowiki.txt,"Черновики: Черный маг, Копыто инженера",Булгаков Михаил
10,http://lib.ru/PROZA/../BULGAKOW/mm6.txt,Мастер и Маргарита (Черновые редакции романа),Булгаков Михаил
11,http://lib.ru/PROZA/../BULGAKOW/mm7.txt,Мастер и Маргарита (переписанные главы),Булгаков Михаил
12,http://lib.ru/PROZA/../BULGAKOW/doctor.txt,Необыкновенные приключения доктора,Булгаков Михаил
13,http://lib.ru/PROZA/../BULGAKOW/luch.txt,Луч жизни,Булгаков Михаил
14,http://lib.ru/PROZA/../BULGAKOW/run.txt,Бег,Булгаков Михаил
15,http://lib.ru/PROZA/../BULGAKOW/zoj_flat.txt,Зойкина квартира,Булгаков Михаил
16,http://lib.ru/PROZA/../BULGAKOW/p_island.txt,Багровый остров,Булгаков Михаил
17,http://lib.ru/PROZA/../BULGAKOW/blagen.txt,Блаженство (сон инженера Рейна),Булгаков Михаил
18,http://lib.ru/PROZA/../BULGAKOW/kabala.txt,Кабала святош (Мольер),Булгаков Михаил
19,http://lib.ru/PROZA/../BULGAKOW/kabala1.txt,Кабала святош,Булгаков Михаил
20,http://lib.ru/PROZA/../BULGAKOW/jurden.txt,Полоумный Журден,Булгаков Михаил
21,http://lib.ru/PROZA/../BULGAKOW/pushkin.txt,Александр Пушкин,Булгаков Михаил
22,http://lib.ru/PROZA/../BULGAKOW/pushkin4.txt,Александр Пушкин (варианты),Булгаков Михаил
23,http://lib.ru/PROZA/../BULGAKOW/batum.txt,Батум,Булгаков Михаил
24,http://lib.ru/PROZA/../BULGAKOW/adam.txt,Адам и Ева,Булгаков Михаил
25,http://lib.ru/PROZA/../BULGAKOW/dushi.txt,Мертвые души,Булгаков Михаил
26,http://lib.ru/PROZA/../BULGAKOW/war.txt,Война и мир,Булгаков Михаил
27,http://lib.ru/PROZA/../BULGAKOW/dushi_sc.txt,Мертвые души (Киносценарий),Булгаков Михаил
28,http://lib.ru/PROZA/../BULGAKOW/ivan_vas.txt,Иван Васильевич,Булгаков Михаил
29,http://lib.ru/PROZA/../BULGAKOW/revizor_sc.txt,"Необычайное происшествие, или Ревизор (по Гоголю)",Булгаков Михаил
30,http://lib.ru/PROZA/../BULGAKOW/pushkin2.txt,Последние дни (Пушкин),Булгаков Михаил
31,http://lib.ru/PROZA/../BULGAKOW/minin.txt,Минин и Пожарский,Булгаков Михаил
32,http://lib.ru/PROZA/../BULGAKOW/r_may.txt,Был май,Булгаков Михаил
33,http://lib.ru/PROZA/../BULGAKOW/psalom.txt,Псалом,Булгаков Михаил
34,http://lib.ru/PROZA/../BULGAKOW/prazdnik.txt,Праздник с сифилисом,Булгаков Михаил
35,http://lib.ru/PROZA/../BULGAKOW/kiev.txt,Киев-Город,Булгаков Михаил
36,http://lib.ru/PROZA/../BULGAKOW/cicikov.txt,Похождения Чичикова,Булгаков Михаил
37,http://lib.ru/PROZA/../BULGAKOW/bogema.txt,Богема,Булгаков Михаил
38,http://lib.ru/PROZA/../BULGAKOW/remember.txt,Воспоминание...,Булгаков Михаил
39,http://lib.ru/PROZA/../BULGAKOW/on_cafe.txt,В кафе,Булгаков Михаил
40,http://lib.ru/PROZA/../BULGAKOW/perspect.txt,Грядущие перспективы,Булгаков Михаил
41,http://lib.ru/PROZA/../BULGAKOW/tom10.txt,Заметки и миниатюры,Булгаков Михаил
42,http://lib.ru/PROZA/../BULGAKOW/manzhety.txt,Записки на манжетах,Булгаков Михаил
43,http://lib.ru/PROZA/../BULGAKOW/r_13.txt,No 13. - Дом Эльпит-Рабкоммуна,Булгаков Михаил
44,http://lib.ru/PROZA/../BULGAKOW/r_ferapont.txt,Золотые корреспонденции Ферапонта Ферапонтовича Капорцева,Булгаков Михаил
45,http://lib.ru/PROZA/../BULGAKOW/r_gollandec.txt,Летучий голландец,Булгаков Михаил
46,http://lib.ru/PROZA/../BULGAKOW/r_mumia.txt,Михаил Булгаков Египетская мумия,Булгаков Михаил
47,http://lib.ru/PROZA/../BULGAKOW/r_portrety.txt,Четыре портрета,Булгаков Михаил
48,http://lib.ru/PROZA/../BULGAKOW/r_samogon.txt,Самогонное озеро,Булгаков Михаил
49,http://lib.ru/PROZA/../BULGAKOW/r_tajnyj.txt,Тайному другу,Булгаков Михаил
50,http://lib.ru/PROZA/../BULGAKOW/r_tip.txt,Паршивый тип,Булгаков Михаил
51,http://lib.ru/PROZA/../BULGAKOW/r_woda.txt,Вода жизни,Булгаков Михаил
52,http://lib.ru/PROZA/../BULGAKOW/r_wospalenie.txt,Воспаление мозгов,Булгаков Михаил
53,http://lib.ru/PROZA/../BULGAKOW/p_nabroski.txt,"Статьи, рассказы, наброски",Булгаков Михаил
54,http://lib.ru/PROZA/../BULGAKOW/r_stolica.txt,Столица в блокноте,Булгаков Михаил
55,http://lib.ru/PROZA/../BULGAKOW/b_letter.txt,Письмо правительству СССР,Булгаков Михаил
56,http://lib.ru/PROZA/../BULGAKOW/pushkin3.txt,Александр Пушкин,Булгаков Михаил
57,http://lib.ru/PROZA/../BULGAKOW/tom2.txt,Заметки (ПСС т.2),Булгаков Михаил
58,http://lib.ru/PROZA/../BULGAKOW/feliet3.txt,"Рассказы, очерки, фельетоны",Булгаков Михаил
59,http://lib.ru/PROZA/../BULGAKOW/feliet4.txt,"Рассказы, очерки, фельетоны 1925-1927гг",Булгаков Михаил
60,http://lib.ru/PROZA/../BULGAKOW/dnewnik.txt,Под пятой,Булгаков Михаил
61,http://lib.ru/PROZA/../BULGAKOW/http://www.esperanto.mv.ru/Download/MM/mm_lat1.zip,"""Master i Margarita""",Булгаков Михаил
62,http://lib.ru/PROZA/../BULGAKOW/../RUFANT/UGRUMOVA/bulgakov.txt,В.Угрюмова.Фиолетовый рыцарь и другие,Булгаков Михаил
63,http://lib.ru/PROZA/../BULGAKOW/bulgakov.txt,В.Лосев. Художественная автобиография Михаила Булгакова,Булгаков Михаил
64,http://lib.ru/PROZA/../BULGAKOW/a_kancler.txt,В.Лосев. Фантастический роман о дьяволе,Булгаков Михаил
65,http://lib.ru/PROZA/../BULGAKOW/bulgakov1.jpg,bulgakov1.jpg,Булгаков Михаил
66,http://lib.ru/PROZA/../BULGAKOW/bulgakov2.jpg,bulgakov2.jpg,Булгаков Михаил
67,http://lib.ru/PROZA/../BULGAKOW/bulgakov3.jpg,bulgakov3.jpg,Булгаков Михаил
68,http://lib.ru/PROZA/../BULGAKOW/http://lcweb.loc.gov/rr/european/bulgaklc.html,Библиография Булгакова в Library of Congress (Сост. Katerina Konchakovska),Булгаков Михаил
69,http://lib.ru/PROZA/../BULGAKOW/lcbulgbib.txt,Библиография Булгакова (Сост. Katerina Konchakovska),Булгаков Михаил
70,http://lib.ru/PROZA/../BULGAKOW/dnewn.txt,Александра Белкина. Рецензия: Булгаков. Дневник.Письма,Булгаков Михаил
71,http://lib.ru/PROZA/../BULGAKOW/../ZHURNAL/hilkevich.txt,"Е.Хилькевич. Опыты лит.анализа романа М.Булгакова ""Мастер и Маргарита""",Булгаков Михаил
