,url,book,author
0,http://lib.ru/INPROZ/DAL/choko.txt,Чарли и шоколадная фабрика,Даль Роальд
1,http://lib.ru/INPROZ/DAL/patrik.txt,Убийство Патрика Мэлони,Даль Роальд
2,http://lib.ru/INPROZ/DAL/r_krysolow.txt,Крысолов,Даль Роальд
3,http://lib.ru/INPROZ/DAL/dal3.txt,Дорога в рай,Даль Роальд
4,http://lib.ru/INPROZ/DAL/r_host.txt,Хозяйка,Даль Роальд
5,http://lib.ru/INPROZ/DAL/r_man.txt,Человек с юга,Даль Роальд
6,http://lib.ru/INPROZ/DAL/r_ramminz.txt,Рамминз,Даль Роальд
7,http://lib.ru/INPROZ/DAL/r_soldat.txt,Солдат,Даль Роальд
8,http://lib.ru/INPROZ/DAL/r_taste.txt,Вкус,Даль Роальд
9,http://lib.ru/INPROZ/DAL/r_mashina.txt,Звуковая машина,Даль Роальд
10,http://lib.ru/INPROZ/DAL/r_champion.txt,Чемпион браконьеров,Даль Роальд
11,http://lib.ru/INPROZ/DAL/r_swin.txt,Свинья,Даль Роальд
12,http://lib.ru/INPROZ/DAL/http://members.aol.com/anatar1/,Роальд Даль на странице А.Тарасова,Даль Роальд
