,url,book,author
0,http://lib.ru/INPROZ/ZINGER/wragi.txt,Враги. История любви,Зингер Исаак Башевис
1,http://lib.ru/INPROZ/ZINGER/shosha.txt,Шоша,Зингер Исаак Башевис
2,http://lib.ru/INPROZ/ZINGER/korona.txt,Корона из перьев,Зингер Исаак Башевис
3,http://lib.ru/INPROZ/ZINGER/rab.txt,Раб,Зингер Исаак Башевис
4,http://lib.ru/INPROZ/ZINGER/strasti.txt,Страсти и другие рассказы,Зингер Исаак Башевис
5,http://lib.ru/INPROZ/ZINGER/r_krow.txt,Кровь,Зингер Исаак Башевис
6,http://lib.ru/INPROZ/ZINGER/r_kuniguda.txt,Кунигунда. Друг Кафки,Зингер Исаак Башевис
7,http://lib.ru/INPROZ/ZINGER/taibele.txt,Тойбеле и ее демон,Зингер Исаак Башевис
8,http://lib.ru/INPROZ/ZINGER/r_porazhenie.txt,Тяга к поражению,Зингер Исаак Башевис
9,http://lib.ru/INPROZ/ZINGER/rasskazy.txt,Сборник рассказов,Зингер Исаак Башевис
10,http://lib.ru/INPROZ/ZINGER/taibele2.txt,Тойбеле и ее демон,Зингер Исаак Башевис
11,http://lib.ru/INPROZ/ZINGER/http://www.booknik.ru/reviews/fiction/?id=11809,"Рецензия ""Booknik.ru"": И.Б. Зингер ""Раб"": Неразделенное семитство",Зингер Исаак Башевис
12,http://lib.ru/INPROZ/ZINGER/http://www.booknik.ru/reviews/fiction/?id=10369,"Рецензия ""Booknik.ru"": И.Б. Зингер ""Раскаявшийся"": Бунт и молитва",Зингер Исаак Башевис
13,http://lib.ru/INPROZ/ZINGER/http://www.booknik.ru/reviews/fiction/?id=10052&type=BigReview,"Рецензия ""Booknik.ru"": И.Б. Зингер. Страсти по Зингеру: две рецензии на одну книгу",Зингер Исаак Башевис
14,http://lib.ru/INPROZ/ZINGER/http://www.booknik.ru/reviews/fiction/?id=24203,Рецензия на Booknik.ru: Исаак Башевис Зингер. Семья Мускат,Зингер Исаак Башевис
15,http://lib.ru/INPROZ/ZINGER/http://booknik.ru/reviews/fiction/?id=29084,"Рецензия на ""Booknik.ru"": Сатана в газете (Исаак Башевис Зингер. Сатана в Горае)",Зингер Исаак Башевис
