,url,book,author
0,http://lib.ru/PROZA/DIKOWSKIJ/anna_isl.txt,На острове Анна,Диковский Сергей
1,http://lib.ru/PROZA/DIKOWSKIJ/arithmet.txt,Арифметика,Диковский Сергей
2,http://lib.ru/PROZA/DIKOWSKIJ/ayanka.txt,Петр Аянка едет в гости,Диковский Сергей
3,http://lib.ru/PROZA/DIKOWSKIJ/boat_1.txt,"Конец ""Саго-мару""",Диковский Сергей
4,http://lib.ru/PROZA/DIKOWSKIJ/boat_2.txt,Бери-бери,Диковский Сергей
5,http://lib.ru/PROZA/DIKOWSKIJ/boat_3.txt,Комендант Птичьего острова,Диковский Сергей
6,http://lib.ru/PROZA/DIKOWSKIJ/boat_4.txt,Осечка,Диковский Сергей
7,http://lib.ru/PROZA/DIKOWSKIJ/boat_5.txt,На маяке,Диковский Сергей
8,http://lib.ru/PROZA/DIKOWSKIJ/boat_6.txt,Главное - выдержка,Диковский Сергей
9,http://lib.ru/PROZA/DIKOWSKIJ/chief.txt,Товарищ начальник,Диковский Сергей
10,http://lib.ru/PROZA/DIKOWSKIJ/egor.txt,Егор Цыганков,Диковский Сергей
11,http://lib.ru/PROZA/DIKOWSKIJ/fight.txt,Бой,Диковский Сергей
12,http://lib.ru/PROZA/DIKOWSKIJ/fish_map.txt,Рыбья карта,Диковский Сергей
13,http://lib.ru/PROZA/DIKOWSKIJ/hotsprng.txt,Горячие ключи,Диковский Сергей
14,http://lib.ru/PROZA/DIKOWSKIJ/kapeldud.txt,Капельдудка,Диковский Сергей
15,http://lib.ru/PROZA/DIKOWSKIJ/operatio.txt,Операция,Диковский Сергей
16,http://lib.ru/PROZA/DIKOWSKIJ/outpost.txt,На тихой заставе,Диковский Сергей
17,http://lib.ru/PROZA/DIKOWSKIJ/patriots.txt,Патриоты,Диковский Сергей
18,http://lib.ru/PROZA/DIKOWSKIJ/pursuit.txt,Погоня,Диковский Сергей
19,http://lib.ru/PROZA/DIKOWSKIJ/savushka.txt,Сказка о партизане Савушке,Диковский Сергей
20,http://lib.ru/PROZA/DIKOWSKIJ/scurvy.txt,Когда отступает цынга,Диковский Сергей
21,http://lib.ru/PROZA/DIKOWSKIJ/trunk.txt,Сундук,Диковский Сергей
22,http://lib.ru/PROZA/DIKOWSKIJ/vassa.txt,Васса,Диковский Сергей
23,http://lib.ru/PROZA/DIKOWSKIJ/zanda.txt,Наша Занда,Диковский Сергей
