,url_x,book,author_x,author_y,url_y
407,http://lib.ru/PXESY/METERLINK/m3.txt,тамвнутри,морисметерлинк,морисметерлинк,https://briefly.ru/meterlink/tam_vnutri/
408,http://lib.ru/PXESY/ERDMAN/samoubijca.txt,самоубийца,николайэрдман,николайробертовичэрдман,https://briefly.ru/erdman/samoubijca/
409,http://lib.ru/INOFANT/../FOUNDATION/selfgods.txt,самибоги,азимовайзек,айзеказимов,https://briefly.ru/azimov/sami_bogi/
410,http://lib.ru/INOFANT/../FOUNDATION/26-04.txt,мойсынфизик,азимовайзек,айзеказимов,https://briefly.ru/azimov/moy_syn_fizik/
411,http://lib.ru/FILOSOF/ERAZM/pohwala.txt,похвалаглупости,эразмроттердамский,эразмроттердамский,https://briefly.ru/rotterdamskij/pohvala_gluposti/
412,http://lib.ru/PROZA/YASHIN/rychagi.txt,рычаги,яшиналександр,александряковлевичяшин,https://briefly.ru/jashin/rychagi/
413,http://lib.ru/PRIKL/DUBOW/mal_chik_u_morya.txt,мальчикуморя,дубовниколай,николайивановичдубов,https://briefly.ru/dubov/malchik_u_moria/
414,http://lib.ru/PROZA/SOLZHENICYN/ivandenisych.txt,одинденьиванаденисовича,солженицыналександр,александрисаевичсолженицын,https://briefly.ru/solzhenitsyn/odin_den/
415,http://lib.ru/PROZA/SOLZHENICYN/matren.txt,матрениндвор,солженицыналександр,александрисаевичсолженицын,https://briefly.ru/solzhenitsyn/matrenin_dvor/
416,http://lib.ru/PROZA/SOLZHENICYN/rk.txt,раковыйкорпус,солженицыналександр,александрисаевичсолженицын,https://briefly.ru/solzhenitsyn/rakovyi_korpus/
417,http://lib.ru/POEEAST/MENANDR/menandr1_1.txt,брюзга,менандр,менандр,https://briefly.ru/menandr/brjuzga/
418,http://lib.ru/POEEAST/MENANDR/menandr1_3.txt,третейскийсуд,менандр,менандр,https://briefly.ru/menandr/treteyskiy_sud/
419,http://lib.ru/INPROZ/PRUST/http://lit.lib.ru/g/godin_a/text_0010.shtml,обретенноевремя,прустмарсель,марсельпруст,https://briefly.ru/prust/obretennoe_vremia/
420,http://lib.ru/INPROZ/PRUST/wremya.txt,обретенноевремя,прустмарсель,марсельпруст,https://briefly.ru/prust/obretennoe_vremia/
421,http://lib.ru/RUSSLIT/FADEEW/mol_gwardiya.txt,молодаягвардия,фадеевалександр,александралександровичфадеев,https://briefly.ru/fadeev/molodaja_gvardija/
422,http://lib.ru/FILOSOF/../POEZIQ/SHELLY/shelley1_8.txt,освобожденныйпрометей,персибишишелли,персибишишелли,https://briefly.ru/shelli/osvobozhdennyj_prometej/
423,http://lib.ru/FILOSOF/../POEZIQ/SHELLY/shelley1_9.txt,ченчи,персибишишелли,персибишишелли,https://briefly.ru/shelli/chenchi/
424,http://lib.ru/INPROZ/../INOFANT/MERL/../../RAZNOE/ostrov.txt,остров,мерльроберт,робермерль,https://briefly.ru/merl/ostrov/
425,http://lib.ru/INOFANT/MERL/../../RAZNOE/ostrov.txt,остров,мерльробер,робермерль,https://briefly.ru/merl/ostrov/
426,http://lib.ru/INPROZ/../INOFANT/MERL/steklo.txt,застеклом,мерльроберт,робермерль,https://briefly.ru/merl/za_steklom/
427,http://lib.ru/INOFANT/MERL/steklo.txt,застеклом,мерльробер,робермерль,https://briefly.ru/merl/za_steklom/
428,http://lib.ru/INPROZ/HENDKE_P/prohanie.txt,короткоеписьмокдолгомупрощанию,хендкепетер,петерхандке,https://briefly.ru/handke/korotkoe_pismo_k_dolgomu_procshaniju/
429,http://lib.ru/PROZA/PETRUSHEWSKAYA/swoj_krug.txt,свойкруг,петрушевскаялюдмила,людмиластефановнапетрушевская,https://briefly.ru/petrushevskaja/svoj_krug/
430,http://lib.ru/INPROZ/JUNSON/priboj.txt,прибойиберега,юнсонэйвинд,эйвиндюнсон,https://briefly.ru/junson/priboj_i_berega/
431,http://lib.ru/INOFANT/POE/bochonok.txt,бочонокамонтильядо,поэдгар,эдгаралланпо,https://briefly.ru/po/bochonok_amontiliado/
432,http://lib.ru/INOFANT/POE/Goldbug.txt,золотойжук,поэдгар,эдгаралланпо,https://briefly.ru/po/zolotoj_zhuk/
433,http://lib.ru/INOFANT/POE/kolodec.txt,колодецимаятник,поэдгар,эдгаралланпо,https://briefly.ru/po/kolodetc_i_maiatnik/
434,http://lib.ru/INOFANT/POE/pfaal.txt,необыкновенноеприключениенекоегогансапфааля,поэдгар,эдгаралланпо,https://briefly.ru/po/neobyknovennoe_prikljuchenie_nekoego_gansa_pfaalja/
435,http://lib.ru/INOFANT/POE/oval.txt,овальныйпортрет,поэдгар,эдгаралланпо,https://briefly.ru/po/ovalnyy_portret/
436,http://lib.ru/INOFANT/POE/asher.txt,падениедомаашеров,поэдгар,эдгаралланпо,https://briefly.ru/po/padenie_doma_asherov/
437,http://lib.ru/INOFANT/POE/Letter.txt,похищенноеписьмо,поэдгар,эдгаралланпо,https://briefly.ru/po/pokhishchennoe_pismo/
438,http://lib.ru/INOFANT/POE/Mariroge.txt,тайнамарироже,поэдгар,эдгаралланпо,https://briefly.ru/po/tajna_mari_rozhe/
439,http://lib.ru/INOFANT/POE/Morgue.txt,убийствонаулицеморг,поэдгар,эдгаралланпо,https://briefly.ru/po/ubijstva_na_ulice_morg/
440,http://lib.ru/INOFANT/POE/blackcat.txt,черныйкот,поэдгар,эдгаралланпо,https://briefly.ru/po/chernyy_kot/
441,http://lib.ru/INOFANT/POE/poe1_1.txt,повестьоприключенияхартурагордонапима,поэдгар,эдгаралланпо,https://briefly.ru/po/povest_o_prikljuchenijah_artura_gordona_pima/
442,http://lib.ru/INOFANT/POE/crown3.txt,ворон,поэдгар,эдгаралланпо,https://briefly.ru/po/voron/
443,http://lib.ru/INPROZ/DEMUSSE/age_son.txt,исповедьсынавека,демюссеальфред,альфреддемюссе,https://briefly.ru/mjusse/ispoved_syna_veka/
444,http://lib.ru/INOFANT/BRADBURY/summer.txt,вселетоводиндень,брэдберирэй,рэйбрэдбери,https://briefly.ru/bredberi/vse_leto_v_odin_den/
